Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,,
Ca I ,392.348, , ,  ,,,,,,,,,,,,,,,
Ca III ,393.087,1.21E+07,350 900.04  ,2,,,,,,,,,,,,,,,
Ca II ,393.366,1.47E+08,25 414.40  , 3/2 ,,,,,,,,,,,,,,,
Ca I ,393.529, , ,  ,,,,,,,,,,,,,,,
Ca I ,394.604, , ,  ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,394.89,3.34E+06,40 474.241 ,1,,,,,,,,,,,,,,,
Ca III ,394.9604, ,350 779.47  ,3,,,,,,,,,,,,,,,
Ca I ,395.705,9.80E+06,40 474.241 ,1,,,,,,,,,,,,,,,
Ca II ,396.847,1.40E+08,25 191.51  , 1/2 ,,,,,,,,,,,,,,,
Ca I ,397.257, , ,  ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,397.371,1.75E+07,40 474.241 ,1,,,,,,,,,,,,,,,
Ca V , ,4.60E+00,43 836.5   ,0,,,,,,,,,,,,,,,
Ca III ,403.8508,1.76E+07,347 758.22  ,2,,,,,,,,,,,,,,,
Ca III ,407.1362,7.70E+06,350 741.19  ,3,,,,,,,,,,,,,,,
Ca III ,408.1766,1.80E+06,272 188.70  ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca XIII , ,3.62E-03,24 460     ,1,,,,,,,,,,,,,,,
Ca XIII , ,3.17E+02,24 460     ,1,,,,,,,,,,,,,,,
Ca I , ,1.10E+07,44 762.620 ,2,,,,,,,,,,,,,,,
Ca I , ,1.20E+07,44 762.839 ,3,,,,,,,,,,,,,,,
Ca I , ,2.10E+06,44 762.620 ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,409.71,9.90E+06,84 933.65  , 3/2 ,,,,,,,,,,,,,,,
Ca I ,409.853,1.30E+07,44 763.118 ,4,,,,,,,,,,,,,,,
Ca I ,409.857,1.50E+06,44 762.839 ,3,,,,,,,,,,,,,,,
Ca I , ,5.80E+04,44 762.620 ,2,,,,,,,,,,,,,,,
Ca I , ,9.00E+07,46 182.399 ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,410.982,1.20E+07,84 936.41  , 5/2 ,,,,,,,,,,,,,,,
Ca II ,411.028,1.90E+06,84 933.65  , 3/2 ,,,,,,,,,,,,,,,
Ca III ,413.6247,2.80E+08,370 901.88  ,2,,,,,,,,,,,,,,,
Ca III ,413.7084,2.60E+07,371 061.30  ,3,,,,,,,,,,,,,,,
Ca III ,414.7683,3.70E+06,347 758.22  ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,415.3565,1.31E+08,346 732.19  ,1,,,,,,,,,,,,,,,
Ca III ,416.431,2.60E+08,370 903.12  ,3,,,,,,,,,,,,,,,
Ca III ,417.5652,3.70E+07,348 051.86  ,4,,,,,,,,,,,,,,,
Ca III ,418.4201,1.44E+08,346 896.26  ,2,,,,,,,,,,,,,,,
Ca III ,420.4611,3.00E+07,371 121.06  ,5,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,420.618,4.30E+06,84 300.89  , 1/2 ,,,,,,,,,,,,,,,
Ca III ,420.7235,2.03E+08,347 417.05  ,3,,,,,,,,,,,,,,,
Ca III ,421.1609,3.10E+07,371 120.69  ,4,,,,,,,,,,,,,,,
Ca III ,421.3144,1.11E+08,346 732.19  ,1,,,,,,,,,,,,,,,
Ca II ,422.007,8.50E+06,84 300.89  , 1/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,422.673,2.18E+08,23 652.304 ,1,,,,,,,,,,,,,,,
Ca III ,422.815,2.90E+08,371 061.37  ,4,,,,,,,,,,,,,,,
Ca III ,423.3737,3.60E+08,370 957.52  ,6,,,,,,,,,,,,,,,
Ca I ,424.046, , ,  ,,,,,,,,,,,,,,,
Ca III ,424.0742,3.50E+08,370 957.65  ,5,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,425.6626,4.30E+07,370 903.12  ,3,,,,,,,,,,,,,,,
Ca III ,427.1896,3.20E+08,374 143.44  ,4,,,,,,,,,,,,,,,
Ca III ,427.2723, ,374 138.90  ,4,,,,,,,,,,,,,,,
Ca III ,427.3881,2.11E+07,348 051.86  ,4,,,,,,,,,,,,,,,
