Ion, Observed , Aki, Ek ,J
Fe II ,242.68391,1.10E+07,105 234.246  , 5/2 
Fe II ,242.70545,1.11E+08,88 157.176  , 3/2 
Fe I ,242.71249, ,53 749.405  ,2
 , , , , 
Fe II ,242.719946,1.99E+08,105 063.561  , 11/2 
Fe II ,242.72297,6.80E+07,106 018.682  , 9/2 
Fe II ,242.728208,1.00E+08,84 424.422  , 3/2 
Fe II ,242.7503,3.10E+07,107 430.742  , 3/2 
Fe II ,242.7808,9.00E+06,99 808.549  , 7/2 
 , , , , 
Fe II ,242.7977,7.00E+05,105 123.005  , 7/2 
Fe II ,242.80766,7.00E+05,61 512.630  , 9/2 
Fe II ,242.82918,8.00E+07,72 651.914  , 7/2 
Fe II ,242.836349,2.68E+08,72 650.698  , 9/2 
Fe II ,242.84564,2.20E+07,106 722.187  , 9/2 
 , , , , 
Fe II ,242.85133, ,105 205.808  , 5/2 
Fe II ,242.85542,4.30E+07,105 589.674  , 7/2 
Fe II ,242.8594, ,67 516.328  , 11/2 
Fe II ,242.86167,6.00E+05,105 449.557  , 7/2 
Fe II ,242.880002,1.38E+08,72 524.561  , 3/2 
 , , , , 
Fe I ,242.8871, ,60 549.116  ,5
Fe II ,242.89684,1.10E+08,83 558.569  , 1/2 
Fe II ,242.903588,1.23E+08,72 524.561  , 3/2 
Fe II ,242.915382,1.75E+08,83 812.352  , 5/2 
Fe II ,242.938623,6.90E+07,62 962.215  , 3/2 
 , , , , 
Fe II ,242.94153, ,63 559.498  , 1/2 
Fe I ,242.9439, ,49 135.023  ,3
Fe II ,242.95109,7.50E+06,64 087.408  , 5/2 
Fe II ,242.9586, ,114 290.252  , 9/2 
Fe II ,242.9586,4.10E+06,105 234.246  , 5/2 
 , , , , 
Fe II ,242.9735, ,61 974.931  , 3/2 
Fe II ,242.9735, ,73 143.346  , 7/2 
Fe II ,242.97501, ,114 160.174  , 9/2 
Fe I ,242.98144, ,49 297.635  ,1
Fe II ,242.98484,1.51E+08,99 808.549  , 7/2 
 , , , , 
Fe II ,242.986086,5.40E+07,106 722.187  , 9/2 
Fe II ,243.007802,1.91E+08,63 948.803  , 9/2 
Fe I ,243.01898, ,60 757.596  ,4
Fe II ,243.03196, ,113 753.876  , 7/2 
Fe II ,243.04368,4.90E+06,108 648.712  , 13/2 
 , , , , 
Fe II ,243.04656,1.20E+06,90 638.823  , 5/2 
Fe II ,243.08385,3.90E+07,99 757.211  , 9/2 
Fe II ,243.08823,9.00E+07,83 459.721  , 3/2 
Fe II ,243.09977,1.07E+08,90 629.811  , 3/2 
Fe I ,243.10246, ,59 500.628  ,1
 , , , , 
Fe II ,243.12445,6.80E+07,83 558.569  , 1/2 
Fe III ,243.1325,2.10E+06,130 040.60   ,7
Fe II ,243.14803,4.50E+06,105 063.561  , 11/2 
Fe II ,243.15111,1.50E+06,105 155.093  , 9/2 
Fe II ,243.18282,7.30E+07,103 191.968  , 7/2 
 , , , , 
Fe II ,243.19, ,104 572.924  , 3/2 
Fe II ,243.1967,2.00E+06,103 172.173  , 5/2 
Fe II ,243.2032,8.00E+07,108 105.938  , 3/2 
Fe II ,243.226088,1.57E+08,64 040.891  , 7/2 
Fe I ,243.2343, ,53 661.079  ,3
 , , , , 
Fe V , ,1.00E+00,93 832.5    ,2
Fe II ,243.23643,2.50E+07,103 165.320  , 9/2 
Fe II ,243.2417,1.70E+07,106 208.574  , 5/2 
Fe I ,243.24172, ,48 475.686  ,3
Fe II ,243.2483, ,104 042.692  , 5/2 
 , , , , 
Fe II ,243.25221, ,113 716.636  , 7/2 
Fe II ,243.27002,8.00E+06,73 969.761  , 11/2 
Fe II ,243.279,9.00E+06,73 091.630  , 9/2 
Fe II ,243.287288,2.86E+08,73 966.843  , 13/2 
Fe II ,243.3041,4.10E+07,84 326.967  , 5/2 
 , , , , 
Fe I ,243.30676, ,49 242.621  ,2
Fe II ,243.34352,4.40E+07,79 245.926  , 3/2 
Fe II ,243.34987,1.30E+07,62 662.252  , 11/2 
Fe II ,243.35822,6.60E+07,79 243.462  , 3/2 
Fe II ,243.3756,1.30E+06,102 802.353  , 5/2 
 , , , , 
Fe II ,243.3892, ,102 030.965  , 7/2 
Fe I ,243.3892, ,54 042.527  ,2
Fe II ,243.3939, ,114 565.532  , 7/2 
Fe II ,243.405926,7.20E+07,83 308.241  , 5/2 
Fe II ,243.405926,5.80E+07,106 767.226  , 7/2 
 , , , , 
Fe II ,243.42373,2.01E+08,83 726.416  , 9/2 
Fe II ,243.4357, ,91 208.892  , 3/2 
Fe II ,243.4412, ,72 429.675  , 1/2 
Fe II ,243.46204,2.50E+07,104 023.921  , 5/2 
Fe II ,243.464872, ,108 577.597  , 9/2 
 , , , , 
Fe II ,243.464872,2.60E+08,72 429.675  , 1/2 
Fe II ,243.472903,2.79E+08,73 969.761  , 11/2 
Fe II ,243.48171,3.60E+07,83 459.721  , 3/2 
Fe II ,243.48769,1.00E+07,102 584.984  , 11/2 
Fe II ,243.49018,1.10E+07,73 966.843  , 13/2 
 , , , , 
Fe II ,243.495154,1.39E+08,64 087.408  , 5/2 
Fe II ,243.499838,2.02E+08,83 713.583  , 7/2 
Fe II ,243.499838,1.80E+06,63 465.134  , 3/2 
Fe II ,243.5405,1.70E+06,85 495.366  , 5/2 
Fe II ,243.5608,9.00E+05,104 993.879  , 7/2 
 , , , , 
Fe II ,243.58134,1.00E+06,62 293.177  , 13/2 
Fe II ,243.596, ,114 094.244  , 5/2 
Fe II ,243.60681,1.60E+06,103 102.849  , 7/2 
Fe II ,243.6219,7.00E+06,66 463.542  , 11/2 
Fe II ,243.64182,1.40E+07,79 245.926  , 3/2 
 , , , , 
Fe II ,243.65661,2.00E+07,79 243.462  , 3/2 
Fe II ,243.662163,2.70E+08,84 266.594  , 7/2 
Fe II ,243.67319,1.40E+07,106 722.187  , 9/2 
Fe II ,243.6848, ,105 449.557  , 7/2 
Fe II ,243.699621,6.60E+07,83 136.508  , 7/2 
 , , , , 
Fe II ,243.699621,2.20E+08,99 653.257  , 9/2 
Fe II ,243.7104,3.20E+07,83 459.721  , 3/2 
Fe II ,243.71623,1.70E+07,67 000.530  , 5/2 
Fe II ,243.720356,2.88E+08,87 985.667  , 5/2 
Fe II ,243.7272,2.00E+07,62 829.071  , 1/2 
 , , , , 
Fe II ,243.7334,2.00E+07,85 462.907  , 7/2 
Fe II ,243.7488,9.00E+06,104 572.924  , 3/2 
Fe II ,243.765195,4.90E+07,82 978.717  , 9/2 
Fe II ,243.7865,6.30E+06,103 165.320  , 9/2 
Fe II ,243.8009,3.70E+06,105 291.014  , 7/2 
 , , , , 
Fe II ,243.8056,1.30E+07,99 635.420  , 7/2 
Fe III ,243.8174, ,82 002.12   ,2
Fe I ,243.81824,7.09E+06,47 929.997  ,4
Fe III ,243.828,2.24E+01,41 000.31   ,2
Fe II ,243.85191,4.00E+06,91 208.892  , 3/2 
 , , , , 
Fe II ,243.8615,1.00E+06,91 070.566  , 5/2 
Fe II ,243.8657, ,114 009.908  , 7/2 
Fe II ,243.8657,1.30E+06,103 165.320  , 9/2 
Fe II ,243.87487, ,104 868.522  , 9/2 
Fe II ,243.8869, ,103 039.222  , 7/2 
 , , , , 
Fe II ,243.8955, ,105 414.186  , 5/2 
Fe II ,243.90548,1.60E+07,99 653.257  , 9/2 
Fe I ,243.91704, ,48 361.882  ,4
Fe II ,243.930114,2.25E+08,66 411.712  , 13/2 
Fe I ,243.93556, ,59 360.198  ,1
 , , , , 
Fe II ,243.9453,1.20E+06,79 439.496  , 7/2 
Fe II ,243.9453,2.30E+06,98 391.320  , 7/2 
Fe II ,243.9595, ,62 689.874  , 5/2 
Fe I ,243.96305, ,52 953.629  ,4
Fe I ,243.97448,3.46E+08,60 365.637  ,6
 , , , , 
Fe II ,243.98682,3.80E+07,83 308.241  , 5/2 
Fe III ,243.9963,4.40E+06,134 360.41   ,4
Fe I ,244.01096, ,60 757.596  ,4
Fe I ,244.03317, ,59 343.807  ,1
Fe II ,244.042397,1.18E+08,72 352.046  , 7/2 
 , , , , 
Fe II ,244.044328,1.44E+08,110 570.312  , 7/2 
Fe II ,244.058635,2.65E+08,110 611.830  , 5/2 
Fe II ,244.058635, ,101 402.37   , 1/2 
Fe II ,244.0899,6.30E+06,103 039.222  , 7/2 
Fe II ,244.11131,2.10E+06,105 238.815  , 5/2 
 , , , , 
Fe II ,244.112917,8.95E+07,85 184.773  , 9/2 
Fe II ,244.14059,5.40E+06,108 463.918  , 13/2 
Fe II ,244.1453, ,103 608.921  , 9/2 
Fe II ,244.15533,4.50E+06,67 000.530  , 5/2 
Fe I ,244.159, ,53 913.020  ,2
 , , , , 
Fe II ,244.16187,2.00E+06,85 728.846  , 3/2 
Fe II ,244.16463, ,98 354.656  , 5/2 
Fe II ,244.16463,3.70E+07,105 775.517  , 7/2 
Fe II ,244.18334, ,113 370.112  , 1/2 
Fe II ,244.213243,7.50E+07,106 866.770  , 5/2 
 , , , , 
Fe II ,244.22015,1.30E+07,105 220.610  , 7/2 
Fe II ,244.237568,2.75E+08,105 763.286  , 11/2 
Fe I ,244.25683,3.12E+08,60 549.116  ,5
Fe II ,244.25877,3.50E+06,91 070.566  , 5/2 
Fe I ,244.2644, ,47 855.143  ,6
 , , , , 
Fe II ,244.26979,4.60E+06,85 679.755  , 5/2 
Fe II ,244.3033, ,61 726.069  , 7/2 
Fe II ,244.30622,5.10E+07,110 570.312  , 7/2 
Fe II ,244.3567, ,112 876.116  , 7/2 
Fe II ,244.370978,1.44E+08,106 018.682  , 9/2 
 , , , , 
Fe II ,244.37447,4.00E+06,107 430.742  , 3/2 
Fe II ,244.3834,2.80E+07,83 308.241  , 5/2 
Fe I ,244.38716,5.89E+06,47 834.550  ,5
Fe II ,244.39244,1.60E+07,91 048.225  , 3/2 
Fe II ,244.42799,4.90E+07,83 136.508  , 7/2 
 , , , , 
Fe II ,244.451511,2.78E+08,61 726.069  , 7/2 
Fe II ,244.45465,1.90E+07,85 679.755  , 5/2 
Fe II ,244.47232,6.50E+06,105 317.400  , 3/2 
Fe II ,244.48967,2.70E+07,104 765.459  , 11/2 
Fe II ,244.510618,2.03E+08,82 853.704  , 11/2 
 , , , , 
Fe II ,244.511363,4.40E+07,107 407.818  , 5/2 
Fe I ,244.52128,1.18E+06,47 812.118  ,4
Fe II ,244.5307, ,102 394.764  , 7/2 
Fe II ,244.55729,2.07E+08,62 689.874  , 5/2 
Fe II ,244.57954,1.23E+08,72 238.564  , 5/2 
 , , , , 
Fe II ,244.59454,1.70E+07,108 387.934  , 11/2 
Fe II ,244.611024,1.06E+08,72 352.046  , 7/2 
Fe II ,244.62202,1.70E+06,66 672.336  , 7/2 
Fe II ,244.632128,2.60E+07,106 796.679  , 5/2 
Fe II ,244.640772,1.00E+08,82 978.717  , 9/2 
 , , , , 
Fe II ,244.6453,3.20E+06,105 288.559  , 3/2 
Fe II ,244.647114,3.00E+07,62 293.177  , 13/2 
Fe II ,244.6542, ,113 481.304  , 3/2 
Fe II ,244.67763,7.10E+06,91 070.566  , 5/2 
Fe I ,244.6966, ,48 231.280  ,5
 , , , , 
Fe II ,244.72039,1.15E+08,72 238.564  , 5/2 
Fe V , ,2.80E-01,71 280.3    ,4
Fe II ,244.732682,2.60E+08,72 212.989  , 1/2 
Fe III ,244.7374,1.30E+07,134 360.41   ,4
Fe II ,244.741, ,104 120.244  , 5/2 
 , , , , 
Fe II ,244.7495, ,113 370.112  , 1/2 
Fe II ,244.75666,7.00E+06,72 212.989  , 1/2 
Fe II ,244.769, ,107 219.778  , 9/2 
Fe I ,244.77093,3.30E+06,40 842.154  ,3
Fe II ,244.775491,1.97E+08,73 751.276  , 9/2 
 , , , , 
Fe II ,244.80392,1.20E+07,105 123.005  , 7/2 
Fe II ,244.80853,3.60E+06,106 767.226  , 7/2 
Fe II ,244.81146,8.00E+07,91 048.225  , 3/2 
Fe II ,244.83118,1.30E+07,108 105.938  , 3/2 
Fe I ,244.83923, ,52 807.001  ,5
 , , , , 
Fe I ,244.85742, ,53 388.637  ,4
Fe II ,244.87328,2.00E+06,66 612.659  , 3/2 
Fe II ,244.91521,3.50E+07,107 430.742  , 3/2 
Fe II ,244.91813,1.50E+06,62 125.604  , 3/2 
Fe II ,244.92907, ,61 332.753  , 3/2 
 , , , , 
Fe II ,244.94332,8.00E+06,105 238.815  , 5/2 
Fe II ,244.97073,3.80E+07,105 234.246  , 5/2 
Fe II ,244.9725, ,43 238.6066 , 5/2 
Fe II ,244.996527,1.24E+08,72 169.004  , 3/2 
Fe II ,245.003185,2.50E+08,84 424.422  , 3/2 
 , , , , 
Fe II ,245.01384,2.30E+07,83 136.508  , 7/2 
Fe II ,245.020514,1.26E+08,72 169.004  , 3/2 
Fe II ,245.028292,3.40E+08,88 189.066  , 1/2 
Fe I ,245.04434, ,53 357.515  ,3
Fe II ,245.05288,5.00E+06,105 220.610  , 7/2 
 , , , , 
Fe II ,245.05288,5.50E+06,107 407.818  , 5/2 
Fe II ,245.07891,1.40E+06,106 722.187  , 9/2 
Fe II ,245.1001, ,104 828.163  , 5/2 
Fe II ,245.11007, ,42 658.2444 , 7/2 
Fe II ,245.12168,1.20E+07,66 589.042  , 9/2 
 , , , , 
Fe II ,245.1354,7.00E+05,61 587.205  , 11/2 
Fe I ,245.13872, ,53 749.405  ,2
Fe II ,245.15714, ,110 428.305  , 5/2 
Fe I ,245.16754, ,60 533.113  ,2
Fe II ,245.1776, ,108 775.110  , 11/2 
 , , , , 
Fe II ,245.213896,6.90E+07,106 846.649  , 3/2 
Fe I ,245.21676, ,53 328.835  ,4
Fe II ,245.21997,8.00E+07,88 157.176  , 3/2 
Fe II ,245.2256,8.00E+05,104 807.215  , 9/2 
Fe I ,245.2338, ,53 733.594  ,3
 , , , , 
Fe I ,245.25918, ,60 549.116  ,5
Fe II ,245.27442,2.80E+06,90 901.130  , 5/2 
Fe II ,245.2757, ,103 002.660  , 5/2 
Fe II ,245.28483,6.00E+05,104 705.411  , 7/2 
Fe II ,245.29223,4.90E+06,72 238.564  , 5/2 
 , , , , 
Fe II ,245.29743, ,106 767.226  , 7/2 
Fe I ,245.29745, ,53 723.079  ,2
Fe II ,245.315469,2.21E+08,83 990.106  , 3/2 
Fe I ,245.33854, ,48 475.686  ,3
Fe I ,245.34758,1.89E+07,48 122.928  ,3
 , , , , 
Fe I ,245.35688,1.23E+07,60 365.637  ,6
Fe II ,245.37472,2.20E+07,82 978.717  , 9/2 
Fe II ,245.379738,1.60E+07,62 322.445  , 7/2 
Fe II ,245.39155,1.30E+07,82 853.704  , 11/2 
Fe II ,245.39756,1.31E+08,85 184.773  , 9/2 
 , , , , 
Fe II ,245.41669,8.00E+06,66 522.310  , 5/2 
Fe II ,245.42125,1.50E+06,106 097.530  , 9/2 
Fe II ,245.4561, ,112 966.779  , 7/2 
Fe II ,245.457782,1.16E+08,73 603.537  , 11/2 
Fe II ,245.45871,8.00E+06,62 158.126  , 9/2 
 , , , , 
Fe II ,245.5461,2.60E+06,90 901.130  , 5/2 
Fe II ,245.5622, ,85 495.366  , 5/2 
Fe II ,245.569096,4.10E+07,106 722.187  , 9/2 
Fe II ,245.571056,1.01E+08,85 462.907  , 7/2 
Fe II ,245.58043,1.00E+07,104 993.879  , 7/2 
 , , , , 
Fe II ,245.5856, ,61 512.630  , 9/2 
Fe II ,245.589787,1.73E+08,84 326.967  , 5/2 
Fe II ,245.61177,1.10E+06,105 127.773  , 5/2 
Fe II ,245.631, ,113 753.876  , 7/2 
Fe II ,245.64049,1.30E+07,105 123.005  , 7/2 
 , , , , 
Fe III ,245.6572, ,124 854.11   ,3
Fe II ,245.66419,1.50E+07,73 603.537  , 11/2 
Fe II ,245.6708, ,105 524.482  , 9/2 
Fe I ,245.67081, ,53 661.079  ,3
Fe II ,245.6821,1.30E+07,66 672.336  , 7/2 
 , , , , 
Fe II ,245.69658,2.20E+07,90 901.130  , 5/2 
Fe II ,245.710162,4.70E+07,90 898.878  , 3/2 
Fe II ,245.7187,5.10E+06,85 728.846  , 3/2 
Fe II ,245.7231,3.50E+06,105 518.142  , 3/2 
Fe II ,245.733958,8.90E+07,106 045.712  , 11/2 
 , , , , 
Fe II ,245.75505,3.30E+06,72 043.060  , 3/2 
Fe II ,245.757918,1.11E+08,85 462.907  , 7/2 
Fe I ,245.7589, ,60 466.164  ,4
Fe I ,245.75966,4.81E+07,47 606.114  ,5
Fe II ,245.7791,9.00E+06,72 043.060  , 3/2 
 , , , , 
Fe II ,245.81498, ,102 394.764  , 7/2 
Fe I ,245.82, ,58 394.864  ,1
Fe II ,245.8256, ,61 974.931  , 3/2 
Fe II ,245.83587,2.10E+07,108 181.564  , 11/2 
Fe I ,245.85686,1.07E+06,47 590.048  ,4
 , , , , 
Fe II ,245.878354,2.31E+08,66 463.542  , 11/2 
Fe II ,245.897276,2.50E+08,72 043.060  , 3/2 
Fe II ,245.897276,5.80E+06,106 018.682  , 9/2 
Fe II ,245.90538,7.30E+06,105 460.233  , 3/2 
Fe II ,245.91133,5.90E+06,62 083.118  , 9/2 
 , , , , 
Fe II ,245.9179, ,104 739.057  , 5/2 
Fe II ,245.9179, ,72 650.698  , 9/2 
Fe II ,245.92803,1.60E+07,83 308.241  , 5/2 
Fe II ,245.9331, ,60 989.444  , 9/2 
Fe II ,245.9893, ,61 156.827  , 7/2 
 , , , , 
Fe II ,246.00197,9.00E+05,90 780.623  , 7/2 
Fe I ,246.0075, ,52 613.090  ,5
Fe II ,246.01543,6.70E+07,85 679.755  , 5/2 
Fe I ,246.02592, ,48 361.882  ,4
Fe I ,246.03006, ,60 254.170  ,5
 , , , , 
Fe II ,246.044008,5.39E+08,84 863.382  , 11/2 
Fe II ,246.04798,6.20E+06,104 916.552  , 9/2 
Fe II ,246.04955, ,104 189.382  , 3/2 
Fe II ,246.05116, ,108 630.427  , 11/2 
Fe II ,246.06503,1.30E+08,78 841.872  , 1/2 
 , , , , 
Fe II ,246.0908, ,90 780.623  , 7/2 
Fe I ,246.10598, ,60 533.113  ,2
Fe II ,246.128325,2.34E+08,66 672.336  , 7/2 
Fe II ,246.166996,9.00E+06,62 322.445  , 7/2 
Fe II ,246.186072,2.43E+08,66 589.042  , 9/2 
 , , , , 
Fe I ,246.21808,1.10E+07,41 018.051  ,2
Fe II ,246.231828,9.10E+07,85 679.755  , 5/2 
Fe II ,246.24299,1.10E+07,106 846.649  , 3/2 
Fe I ,246.26471,5.85E+07,40 594.432  ,4
Fe II ,246.27474,3.40E+06,90 780.623  , 7/2 
 , , , , 
Fe III ,246.2978,1.70E+06,123 750.63   ,3
Fe II ,246.3104, ,104 873.232  , 7/2 
Fe II ,246.326, ,113 236.296  , 5/2 
Fe II ,246.328118,7.10E+07,66 012.775  , 9/2 
Fe I ,246.33965, ,58 132.249  ,2
 , , , , 
Fe II ,246.34923,7.00E+05,79 439.496  , 7/2 
Fe II ,246.3664, ,104 042.692  , 5/2 
Fe II ,246.3717,4.00E+06,108 577.597  , 9/2 
Fe I ,246.37303,1.64E+07,48 304.643  ,2
Fe II ,246.39027,6.80E+07,83 812.352  , 5/2 
 , , , , 
Fe II ,246.400952,1.32E+08,66 377.315  , 7/2 
Fe II ,246.42213,9.00E+06,104 993.879  , 7/2 
Fe II ,246.4316,8.00E+05,105 398.876  , 11/2 
Fe III ,246.45,1.63E+01,41 000.31   ,2
Fe II ,246.45287,6.00E+06,107 176.093  , 1/2 
 , , , , 
Fe II ,246.45583,8.00E+07,88 189.066  , 1/2 
Fe II ,246.4688, ,110 167.303  , 7/2 
Fe II ,246.490515,2.22E+08,66 612.659  , 3/2 
Fe II ,246.49423, ,114 160.174  , 9/2 
Fe I ,246.51491,4.35E+07,47 929.997  ,4
 , , , , 
Fe II ,246.519994,1.34E+08,62 962.215  , 3/2 
Fe I ,246.5392, ,58 276.260  ,3
Fe II ,246.5497, ,60 887.606  , 11/2 
Fe II ,246.5638,4.90E+06,105 379.425  , 5/2 
Fe II ,246.57298,4.90E+06,107 065.951  , 3/2 
 , , , , 
Fe II ,246.58446, ,104 828.163  , 5/2 
Fe II ,246.587712,5.50E+07,106 097.530  , 9/2 
Fe II ,246.591333,1.62E+08,66 522.310  , 5/2 
Fe II ,246.62374,1.10E+06,104 411.671  , 9/2 
Fe I ,246.62821, ,60 097.024  ,3
 , , , , 
Fe II ,246.649779,2.40E+08,88 157.176  , 3/2 
Fe II ,246.667106,2.60E+08,63 559.498  , 1/2 
Fe I ,246.66965, ,59 878.64   ,4
Fe II ,246.676678,1.97E+08,78 690.860  , 5/2 
Fe II ,246.681913,1.77E+08,63 465.134  , 3/2 
 , , , , 
Fe I ,246.6897, ,47 452.717  ,4
Fe II ,246.69849,2.60E+07,106 900.373  , 7/2 
Fe II ,246.7031, ,85 728.846  , 3/2 
Fe II ,246.71184,1.30E+07,104 807.215  , 9/2 
Fe II ,246.73629, ,110 167.303  , 7/2 
 , , , , 
Fe I ,246.75687, ,60 075.924  ,3
Fe I ,246.75687, ,60 533.113  ,2
Fe I ,246.77334, ,48 238.847  ,2
Fe II ,246.7743,1.70E+08,84 131.624  , 1/2 
Fe II ,246.81926,5.40E+06,73 969.761  , 11/2 
 , , , , 
Fe II ,246.82567,2.60E+06,61 332.753  , 3/2 
Fe I ,246.829592, , ,  
Fe II ,246.829592,1.00E+07,62 083.118  , 9/2 
Fe II ,246.8564,7.00E+05,60 837.560  , 13/2 
Fe II ,246.87, ,113 987.102  , 7/2 
 , , , , 
Fe I ,246.88797,2.40E+07,47 420.228  ,5
Fe I ,246.9008, ,48 475.686  ,3
Fe II ,246.9024, ,94 763.218  , 7/2 
Fe III ,246.9126, ,122 898.90   ,2
Fe II ,246.93715,2.20E+06,62 065.528  , 7/2 
 , , , , 
Fe II ,246.94846,8.00E+06,105 288.559  , 3/2 
Fe II ,246.951439,2.58E+08,71 964.750  , 5/2 
Fe I ,246.96677, ,40 894.990  ,2
Fe II ,246.97152,2.70E+07,83 136.508  , 7/2 
Fe II ,246.9789, ,112 607.597  , 7/2 
 , , , , 
Fe II ,246.98315,6.40E+07,78 690.860  , 5/2 
Fe II ,246.99161, ,83 713.583  , 7/2 
Fe I ,246.99389, ,60 095.599  ,4
Fe II ,247.040878,6.00E+07,66 522.310  , 5/2 
Fe II ,247.0495,1.40E+06,106 045.712  , 11/2 
 , , , , 
Fe II ,247.0495, ,113 557.048  , 9/2 
Fe II ,247.066913,1.54E+08,63 272.981  , 5/2 
Fe II ,247.07649,9.00E+07,66 248.647  , 1/2 
Fe II ,247.08462,5.40E+05,62 171.624  , 7/2 
Fe II ,247.087894,3.28E+08,110 065.766  , 5/2 
 , , , , 
Fe I ,247.09653,2.36E+06,47 834.550  ,5
Fe II ,247.104, ,123 435.246  , 7/2 
Fe II ,247.11664,2.60E+06,105 288.559  , 3/2 
Fe II ,247.12407,7.30E+06,107 065.951  , 3/2 
Fe II ,247.12757,4.15E+07,84 685.245  , 7/2 
 , , , , 
Fe II ,247.12757,2.30E+06,104 739.057  , 5/2 
Fe II ,247.138, ,85 495.366  , 5/2 
Fe II ,247.138,5.00E+06,76 577.436  , 1/2 
Fe II ,247.1562, ,104 873.232  , 7/2 
Fe II ,247.1673,9.00E+05,62 158.126  , 9/2 
 , , , , 
Fe II ,247.1995, ,115 047.887  , 5/2 
Fe II ,247.20729,9.00E+06,62 151.554  , 5/2 
Fe II ,247.2126,6.00E+05,106 018.682  , 9/2 
Fe I ,247.2332, ,48 163.446  ,2
Fe I ,247.2341,1.07E+07,47 812.118  ,4
 , , , , 
Fe I ,247.2341,7.21E+06,47 363.376  ,6
Fe II ,247.242806,8.00E+07,63 465.134  , 3/2 
Fe II ,247.25325,8.00E+06,104 380.941  , 7/2 
Fe II ,247.260515,3.22E+08,85 184.773  , 9/2 
Fe II ,247.26508,4.30E+07,107 430.742  , 3/2 
 , , , , 
Fe I ,247.28711,2.10E+07,41 130.599  ,1
Fe I ,247.28947,1.30E+08,40 842.154  ,3
Fe II ,247.303086,1.08E+08,84 870.911  , 5/2 
Fe I ,247.31566,2.75E+06,40 421.938  ,4
Fe II ,247.332101,2.70E+08,62 829.071  , 1/2 
 , , , , 
Fe II ,247.34593,3.40E+07,90 629.811  , 3/2 
Fe II ,247.35548, ,85 495.366  , 5/2 
Fe II ,247.37058,1.40E+07,103 102.849  , 7/2 
Fe II ,247.3924, ,94 685.083  , 5/2 
Fe II ,247.405347,2.15E+08,107 407.818  , 5/2 
 , , , , 
Fe II ,247.4195, ,103 094.888  , 7/2 
Fe II ,247.42092,3.70E+07,105 238.815  , 5/2 
Fe II ,247.43943,1.00E+07,110 008.310  , 9/2 
Fe II ,247.4459, ,43 238.6066 , 5/2 
Fe II ,247.44889,1.26E+08,105 234.246  , 5/2 
 , , , , 
Fe II ,247.45197,5.30E+07,105 763.286  , 11/2 
Fe II ,247.4644, ,123 251.479  , 11/2 
Fe II ,247.47325,3.80E+06,105 230.291  , 3/2 
Fe II ,247.4747, ,123 249.656  , 13/2 
Fe II ,247.476504,9.70E+07,66 377.315  , 7/2 
 , , , , 
Fe I ,247.48142,6.13E+07,48 122.928  ,3
Fe I ,247.4943, ,52 953.629  ,4
Fe II ,247.5068,6.00E+06,108 391.507  , 9/2 
Fe II ,247.511692,3.72E+08,85 679.755  , 5/2 
Fe II ,247.511692,2.00E+07,106 767.226  , 7/2 
 , , , , 
Fe I ,247.54671, ,60 172.464  ,3
Fe II ,247.554125,3.18E+08,85 462.907  , 7/2 
Fe I ,247.57619, ,58 757.628  ,3
Fe II ,247.5779,1.20E+06,105 211.079  , 9/2 
Fe I ,247.60311, ,59 725.904  ,4
 , , , , 
Fe II ,247.626397,1.00E+07,62 083.118  , 9/2 
Fe II ,247.63929,8.00E+06,83 990.106  , 3/2 
Fe I ,247.64717, ,59 718.724  ,5
Fe I ,247.66565,3.05E+07,48 350.606  ,1
Fe II ,247.66822, ,124 661.304  , 13/2 
 , , , , 
Fe I ,247.68654,2.93E+06,48 516.138  ,1
Fe II ,247.734319,1.70E+07,62 065.528  , 7/2 
Fe II ,247.73825,2.40E+06,72 352.046  , 7/2 
Fe II ,247.74998,1.10E+06,61 156.827  , 7/2 
Fe II ,247.790657,5.40E+07,106 866.770  , 5/2 
 , , , , 
Fe II ,247.8113,3.10E+07,67 273.833  , 3/2 
Fe II ,247.81776,1.70E+06,104 380.941  , 7/2 
Fe I ,247.8179, ,59 960.956  ,4
Fe I ,247.81791, ,60 097.024  ,3
Fe II ,247.82107,5.60E+06,62 151.554  , 5/2 
 , , , , 
Fe I ,247.82109, ,59 960.482  ,5
Fe II ,247.84503,3.10E+06,61 587.205  , 11/2 
Fe II ,247.857194,9.10E+07,63 272.981  , 5/2 
Fe II ,247.91433,1.20E+07,106 846.649  , 3/2 
Fe I ,247.91481, ,59 886.70   ,3
 , , , , 
Fe II ,247.92277,3.60E+07,78 487.144  , 3/2 
Fe II ,247.92928,1.90E+06,66 377.315  , 7/2 
Fe II ,247.93814,9.00E+06,82 978.717  , 9/2 
Fe I ,247.94802, ,60 075.924  ,3
Fe I ,247.94802,2.10E+07,48 304.643  ,2
 , , , , 
Fe I ,247.96278,7.06E+05,47 693.239  ,3
Fe I ,247.96425, ,59 878.64   ,4
Fe I ,247.97762,1.74E+08,41 018.051  ,2
Fe II ,247.98518,8.00E+06,103 002.660  , 5/2 
Fe II ,248.015734,1.55E+08,62 945.045  , 7/2 
 , , , , 
Fe I ,248.01879, ,60 095.599  ,4
Fe I ,248.03892, ,48 289.871  ,1
Fe II ,248.095138,1.09E+08,109 901.523  , 7/2 
Fe II ,248.10493,1.50E+07,66 463.542  , 11/2 
Fe II ,248.1146, ,102 584.984  , 11/2 
 , , , , 
Fe II ,248.1146, ,123 270.356  , 11/2 
